model_run_id,k_fit,k_eff0,QoI=k_fit/k_eff0,log10_dissolution_rate/FeS,log10_dissolution_rate/pyrite,log10_dissolution_rate/siderite,log10_dissolution_rate/magnetite,log10_dissolution_rate/goethite,log10_dissolution_rate/SOM,log10_equilibrium_constant/FeS,log10_equilibrium_constant/goethite,log10_equilibrium_constant/goethite_dirb,log10_rate_constant/goethite_dirb,log10_rate_constant/abiotic_fe_reduction,log10_rate_constant/sulfate_reduction,sorption_site_density/illite_str,sorption_site_density/illite_w,sorption_site_density/goethite,half_saturation_constant/sulfate,half_saturation_constant/acetate,inhibition_constant/Fe3,logit_initial_mineral_fraction/goethite,logit_initial_mineral_fraction/SOM,logit_initial_mineral_fraction/FeS,logit_initial_mineral_fraction/pyrite,logit_initial_mineral_fraction/siderite,logit_initial_mineral_fraction/illite,log_ssa/FeS,log_ssa/pyrite,log_ssa/siderite,log_ssa/illite,log_tce_intrinsic_rate_constant/FeS,log_tce_intrinsic_rate_constant/pyrite,log_tce_intrinsic_rate_constant/siderite,log_tce_intrinsic_rate_constant/illite,groundwater_concentration/acetate,groundwater_concentration/sulfate,groundwater_concentration/Fe++,initial_concentration/Fe++,initial_concentration/pH,initial_mineral_fraction/goethite,initial_mineral_fraction/SOM,initial_mineral_fraction/FeS,initial_mineral_fraction/pyrite,initial_mineral_fraction/siderite,initial_mineral_fraction/illite,ssa/FeS,ssa/pyrite,ssa/siderite,ssa/illite,log10_tce_intrinsic_rate_constant/FeS,log10_tce_intrinsic_rate_constant/pyrite,log10_tce_intrinsic_rate_constant/siderite,log10_tce_intrinsic_rate_constant/illite,rate_constant/sulfate_reduction,porosity,Variation of normalized volume of FeS,Variation of normalized volume of Pyrite,Variation of normalized volume of Siderite,average_pH,integrated_dirb_rate,integrated_sulfate_reduction_rate,tce_flux_reduction,tce_removal_contributions_FeS,tce_removal_contributions_pyrite,tce_removal_contributions_siderite
7,8.80E-05,7.98E-05,1.102209467,-8.858847201,-12.52457918,-11.60696927,-13,-8.69088326,-10.67831681,-4.63313092,1.120061122,10.37911112,-7.67944755,-6.703945666,2.349362912,2.26E-08,1.14E-06,4.12E-06,0.001125363,2.19E-05,3.43E-09,-5.673938808,-5.404357393,-10.55122617,-8.342684864,-4.01000321,-0.39932266,4.600587848,-2.604884272,-0.382183534,-1.857586124,-28.55351076,-25.59686338,-33.74057472,-35.73637391,0.000374452,0.000411703,1.01E-05,4.24E-06,7.586954537,0.003422557,0.004476811,2.62E-05,0.000238075,0.017810375,0.401475089,99.54281453,0.07391169,0.682369804,0.156048859,-12.40063216,-11.11657652,-14.65334542,-15.52010999,10,0.562500893,66.56563574,54.85052911,55.51098588,7.220766543,-348.135204,22.95115548,0.998583085,0.86077478,0.118544259,0.020680961
17,0.006360767,0.006369995,0.99855129,-7.796499078,-14.94982612,-11.44944125,-13,-11.62259192,-8.226418785,-4.171359692,0.710596068,9.969646068,-12.25675469,-2.467195406,-2.463811763,2.02E-08,2.78E-07,5.77E-07,2.20E-06,6.92E-05,1.08E-10,-6.019496815,-4.135258822,-10.54273308,-6.814561089,-7.955853761,-0.496130866,3.969054861,0.597338845,0.100424091,-5.299955586,-25.49062313,-23.87506756,-36.98084888,-33.97431485,9.43E-05,0.000514191,3.65E-05,4.01E-06,8.043059677,0.002424998,0.015746601,2.64E-05,0.001096471,0.000350481,0.378450359,52.93447676,1.817276305,1.10563971,0.004991816,-11.07043696,-10.3688101,-16.0605786,-14.75485747,0.003437069,0.59185469,0.047959532,50.13031242,52.37790814,5.547640751,-25.48141399,2.677499081,0.906680765,0.000155306,0.999844369,3.25E-07
19,0.00455302,0.004072876,1.117888138,-6.001527594,-17.27785875,-8.876984176,-13,-10.62280469,-10.56025047,-4.732733901,-0.490709203,8.768340797,-10.83467935,-6.175482094,-1.307992869,9.63E-09,1.61E-07,1.00E-05,7.97E-05,6.33E-05,1.39E-09,-6.226746149,-4.184176557,-10.50557367,-5.987923654,-7.901121684,-0.54403141,3.000994912,-1.042517982,-3.740525253,-3.807631928,-27.73726292,-23.36560778,-35.32363664,-33.05667484,0.004812277,0.002054963,3.96E-06,2.55E-05,7.888720964,0.001971974,0.015006131,2.74E-05,0.002502589,0.000370191,0.367250273,20.10553021,0.352565809,0.023741629,0.02220069,-12.04614023,-10.14755452,-15.34086047,-14.35633148,0.049204761,0.602821442,62.78303965,50.77035393,213.5626612,5.635550931,-291.6352692,17.5502019,0.931854168,0.007473844,0.992525948,2.08E-07
1,0.000316048,0.000253083,1.24879056,-6.112288442,-13.68335236,-13.58409607,-13,-10.19209592,-10.97112319,-4.997635725,0.35550803,9.61455803,-9.478816066,-3.456499377,2.147611429,2.94E-08,1.48E-06,1.86E-06,1.09E-05,5.78E-05,2.36E-09,-5.302017519,-3.220677357,-8.126831006,-9.256834354,-7.492932345,-0.681577898,3.599827336,-2.022949451,-1.348024422,-4.157168953,-28.61454794,-24.82822643,-32.725062,-32.12391167,0.001852836,0.003890809,2.17E-05,1.03E-05,7.77240212,0.004956841,0.038394969,0.000295416,9.54E-05,0.000556697,0.335909223,36.59191579,0.132264781,0.259752916,0.015651806,-12.42714027,-10.78276173,-14.21231385,-13.95123758,10,0.609741454,83.58157947,223.0538437,52.07249829,5.347835807,-934.7826298,222.641888,0.994969527,0.947615498,0.052203547,0.000180955
8,0.000204978,0.000159934,1.281642094,-6.351841534,-14.88099591,-9.788246162,-13,-5.788590099,-11.87809342,-4.792779521,0.729649694,9.988699694,-5.460868694,-5.134231531,-0.216627104,6.87E-09,4.39E-07,6.12E-07,0.002646211,0.000277108,1.43E-09,-5.273738355,-2.14648539,-11.02827245,-10.10990863,-4.732790486,-0.676707358,3.440542185,-3.006285488,-3.163157079,-2.170835771,-26.14960092,-25.67485719,-29.97870901,-32.9001885,0.000366962,0.00154603,2.17E-06,1.90E-05,7.283247202,0.005098292,0.104660107,1.62E-05,4.07E-05,0.008725078,0.336996582,31.20387186,0.049475114,0.042292011,0.11408223,-11.35662738,-11.1504488,-13.0195879,-14.28837032,0.607257512,0.534413041,63.64455839,111.7024128,82.09775902,4.93019879,-963.3855035,23.50212577,0.996897122,0.97210133,0.00668897,0.0212097
2,0.003256022,0.003080944,1.056826265,-9.192256747,-13.71689165,-8.987246106,-13,-9.814011466,-11.34044837,-5.008919587,0.752955836,10.01200584,-6.014490173,-4.320873777,-3.08209656,7.12E-09,1.22E-06,1.56E-06,0.000206558,0.000579014,2.15E-10,-5.614717894,-2.878483764,-8.792460589,-10.5760588,-6.210963542,-0.408422231,4.963515985,-2.932731587,-1.477061652,-5.534564887,-26.9391948,-24.1961479,-34.33369674,-32.9087824,0.002466072,0.000220744,7.08E-05,6.07E-06,7.233544328,0.003630608,0.053227494,0.000151851,2.55E-05,0.002003281,0.399290501,143.096036,0.053251379,0.228307551,0.003947926,-11.69954365,-10.50825352,-14.91093504,-14.2921026,0.000827758,0.531620765,47.87586865,58.84945923,156.7618413,4.745031161,-725.8477124,0.381075299,0.949847009,0.998902103,0.001063671,3.42E-05
37,0.00357716,0.003420328,1.045852989,-7.041228425,-13.66802559,-12.80609825,-13,-9.308277698,-11.8555025,-4.873224944,0.516660688,9.775710688,-9.044317751,-3.582210462,-0.391493853,3.47E-08,6.26E-07,7.18E-06,3.92E-05,0.003754524,7.60E-10,-6.666105823,-4.789884627,-7.721465068,-7.753957309,-8.898779066,-0.52849894,4.41898293,-3.760528819,-0.557936333,-3.403937292,-27.201718,-23.10705178,-33.76289769,-34.99633599,0.001856919,0.000641162,2.83E-06,7.99E-05,7.676670669,0.001271728,0.008244873,0.000443014,0.000428857,0.000136537,0.370867054,83.01181356,0.023271431,0.572389066,0.033242128,-11.81355603,-10.03526508,-14.66304016,-15.19871561,0.405981409,0.608557937,51.31464669,51.94747228,61.64083287,6.345838899,-96.26970625,15.37970758,0.945254425,0.982927852,0.017069118,3.03E-06
20,0.008734587,0.008020431,1.089042183,-8.683968016,-12.47017493,-7.740167743,-13,-9.59955438,-11.1468008,-5.108229679,0.788889565,10.04793957,-8.320348233,-6.165718372,0.055987417,4.08E-08,1.26E-06,2.58E-06,0.006495719,0.000174283,6.24E-10,-8.309370193,-4.204229131,-12.35673967,-6.285415028,-5.7341835,-0.582337352,4.1690753,1.262880916,-1.396130121,-3.213584929,-26.87295078,-24.67198965,-32.87629456,-33.43506468,0.000560908,0.002401146,2.57E-05,1.34E-05,7.800732733,0.000246138,0.0147126,4.30E-06,0.001859818,0.003223099,0.358394946,64.65563741,3.535592573,0.247553113,0.040212197,-11.67077424,-10.71490896,-14.27799331,-14.52066409,1.137594325,0.611509099,52.57558377,51.92122031,53.18725361,5.555860414,-77.11188137,34.52308865,0.876239056,0.004319955,0.995652052,2.80E-05
47,0.033917313,0.035090412,0.966569249,-10.64973278,-10.0995004,-8.50768977,-13,-9.299693411,-9.11636849,-4.657090327,0.026982214,9.286032214,-5.484602155,-5.122858923,-1.878149204,2.86E-08,2.60E-07,3.44E-06,0.007933457,5.35E-06,7.27E-09,-6.916871222,-3.80237827,-9.719319836,-10.96750481,-6.932633514,-0.383484032,8.19726503,-1.56995361,0.885601527,-4.539443613,-26.74996176,-23.33707947,-32.86154524,-33.99193014,0.001290609,0.000873465,3.34E-06,8.74E-05,7.618113624,0.000989945,0.021830428,6.01E-05,1.73E-05,0.000974478,0.405286867,3631.006022,0.208054834,2.42444232,0.010679347,-11.61736078,-10.13516484,-14.27158777,-14.76250769,0.013238866,0.560790882,45.67450043,72.70518869,111.3107234,5.414327227,-381.5646254,1.392775608,0.653616717,0.99937708,0.000576506,4.64E-05
26,0.028357755,0.024142698,1.174589324,-6.33245929,-13.02533451,-9.175410757,-13,-14.13595515,-10.49678753,-4.897812601,0.56459743,9.82364743,-6.839806207,-3.900435582,-1.143907296,2.75E-07,1.02E-06,7.65E-06,6.24E-05,4.07E-05,1.22E-09,-4.354480826,-3.228744816,-5.892968154,-7.94271025,-9.333413293,-0.603968446,3.686700939,-4.415670614,-0.199639614,-1.382532849,-26.38920007,-22.4038414,-31.82980984,-32.66156632,0.000473082,0.002387868,7.34E-05,4.46E-06,8.118636776,0.012686104,0.038098219,0.002751186,0.000355116,8.84E-05,0.353436302,39.91295426,0.012086446,0.819025866,0.250942149,-11.46068397,-9.729864695,-13.82351077,-14.18473802,0.071794753,0.582534673,49.59228425,63.28364209,6987.17849,5.525459197,-2012.202789,22.69699053,0.681033181,0.997452558,0.00224422,0.000303222
